company,email,location,website,status,touch_1_sent_at,touch_2_due_at,touch_2_sent_at,touch_3_due_at,touch_3_sent_at,touch_4_due_at,touch_4_sent_at,reply_status,notes
Vapor Lounge SC,VaporLounge1396@gmail.com,"Greenville, SC",https://www.vaporloungesc.com/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,The site lists a flavor menu and broad product categories but asks visitors to send a message instead of searching inventory.
Underground Vape Society,undergroundvapesocietydt@gmail.com,"Greenville, SC",https://uvsvape.com/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,The contact page is useful for reaching the downtown shop but does not help shoppers look up products before visiting.
Cloud 9 Upstate,cloud9upstate@gmail.com,"Greenville, SC",https://cloud9upstate.com/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,The contact page frames the shop around vaping and relaxation but leaves product discovery to phone or email.
Master Vape Shop,mastervape2022@gmail.com,"Gaffney, SC",https://www.mastervapeshopsc.com/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The site emphasizes disposable vapes, vape mods, vape juice, CBD, and glass for Gaffney and Spartanburg-area shoppers."
Volcano Vapor Lounge,volcanoanderson@gmail.com,"Anderson, SC",https://volcanovaporlounge.com/premium-vape-shop-anderson-sc,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The Anderson page highlights premium vaping brands and lab-tested quality, which gives a strong product-selection angle."
"eVapors, LLC",evaporsllc@gmail.com,"Ladson, SC",https://evaporsllc.wixsite.com/website-1,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,The site says the shop carries products from beginner vape kits through cloud-chaser and coil-builder needs.
"Charleston Kratom, Vape & CBD",540cbdkratom@gmail.com,"Summerville, SC",https://www.charlestonkratomcbd.com/about,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The page emphasizes a wide selection across kratom, kava, CBD, THC, and smoke-shop essentials."
854 Smoke And Vape,sv843llc@gmail.com,"Summerville, SC",https://citysquares.com/b/854-smoke-and-vape-25360657,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The listing names many product and brand categories, including disposables, pods, Kratom, Delta 8/9, Lost Mary, SMOK, and Geek Bar."
Smape Shop Smoke & Vape,smapeshop20@gmail.com,"Summerville, SC",https://headshops.puffingbird.com/south-carolina/summerville/smape-shop-smoke-vape,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,The profile shows a highly rated Summerville smoke and vape shop but gives shoppers no product lookup path.
Smokers Cabinet,smokerscabinet.owner@gmail.com,"Rock Hill, SC",https://smokerscabinet.com/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The listing names disposables, e-juice, vape pens, CBD, Kratom, Delta products, glass, and cigar accessories."
Planet Vapor LLC,planetvaporstore2@gmail.com,"Columbia, SC",https://www.whereorg.com/planet-vapor-llc-38469095,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The profile highlights e-cigarettes, e-liquids, vapor products, batteries, and vape-store search terms."
The Vape Escape,thevapeescape53@gmail.com,"Anderson, SC",https://nextdoor.com/pages/the-vape-escape-anderson-sc/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The profile identifies the Anderson vaporizer store and exposes contact details, but not product lookup."
Vape Zone Tobacco,elex16928@gmail.com,"Greenville, SC",https://smokeshopgreenville.com/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,"The listing positions the shop as a one-stop source for premium e-liquids, devices, and accessories."
Jay's Vape and Wellness Center,jaykalin123@gmail.com,"Columbia, SC",https://headshops.puffingbird.com/south-carolina/columbia/jay-s-vape-and-wellness-center,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,The profile shows a Columbia vape and wellness shop with strong review count but no product lookup path.
VaVaVape,vavavape@gmail.com,"Myrtle Beach, SC",https://www.vavavape.com/,sent,2026-05-15T14:53:27.196Z,,,,,,,sent,The listing describes multiple vape product classes and premium e-juices for Myrtle Beach shoppers.
