timestamp,email,subject,resend_id
2026-05-15T14:52:34.690Z,vaporlounge1396@gmail.com,Idea for Vapor Lounge SC's inventory search,31a79e66-b5d7-430f-84f9-5be3250766d5
2026-05-15T14:52:34.856Z,undergroundvapesocietydt@gmail.com,Idea for Underground Vape Society's inventory search,927ad25d-a5b1-4c8f-a3df-83e4d09cfa7a
2026-05-15T14:52:34.977Z,cloud9upstate@gmail.com,Idea for Cloud 9 Upstate's inventory search,c5a0763d-68c8-4a53-aa7d-d24fb2d926a9
2026-05-15T14:52:35.113Z,mastervape2022@gmail.com,Idea for Master Vape Shop's inventory search,014ecaf2-1a98-461c-959b-06086b47296e
2026-05-15T14:52:35.263Z,volcanoanderson@gmail.com,Idea for Volcano Vapor Lounge's inventory search,65714329-9df2-4e29-80bf-6ace2d2cb612
2026-05-15T14:52:35.983Z,evaporsllc@gmail.com,Idea for eVapors  LLC's inventory search,12b357ac-52d5-4945-9b56-e3af85a23513
2026-05-15T14:52:36.100Z,540cbdkratom@gmail.com,Idea for Charleston Kratom  Vape & CBD's inventory search,1927399d-8981-4f95-8107-053312f23962
2026-05-15T14:52:36.242Z,sv843llc@gmail.com,Idea for 854 Smoke And Vape's inventory search,c7cfc1f0-1fe0-4ff3-888b-e6f9d2caa1d4
2026-05-15T14:52:36.349Z,smapeshop20@gmail.com,Idea for Smape Shop Smoke & Vape's inventory search,900c3f97-e2b3-4e3a-a7da-aa27ddcd5dc5
2026-05-15T14:52:36.458Z,smokerscabinet.owner@gmail.com,Idea for Smokers Cabinet's inventory search,bab1ef47-9660-40d2-aaa1-583ad09dc607
2026-05-15T14:53:27.585Z,planetvaporstore2@gmail.com,Idea for Planet Vapor LLC's inventory search,6ede1980-c58b-4b5b-aac2-00ecee3bca1c
2026-05-15T14:53:28.925Z,thevapeescape53@gmail.com,Idea for The Vape Escape's inventory search,ca18e257-db0b-42a7-aa21-d2fb657c2fe4
2026-05-15T14:53:30.348Z,elex16928@gmail.com,Idea for Vape Zone Tobacco's inventory search,1ff181b8-1437-4a4d-a9dc-ba048212aaf8
2026-05-15T14:53:31.676Z,jaykalin123@gmail.com,Idea for Jay's Vape and Wellness Center's inventory search,afd9e4d8-0705-4ed5-8aa2-aeaceb62ed12
2026-05-15T14:53:33.031Z,vavavape@gmail.com,Idea for VaVaVape's inventory search,b168cc84-9e32-49ec-9075-3d26329aa895
2026-05-15T15:14:34.397Z,lackmariononestop@gmail.com,Wanted Vape & More to be the first shop I show this to,d88b5f89-9fe0-47ec-a65d-d141d5d43ca2
